,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
74,Aljaž Casar,si SVN,MFDF,Hallescher,22-108,2000,11,10,884,9.8,1,1,1,0,0,3,0,0.10,0.10,0.20,0.10,0.20,Matches,c96bdf86
75,Paterson Chato,de GER,DFMF,Osnabrück,26-033,1996,15,7,707,7.9,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches,f856ca7c
76,Tim Civeja,de GER,MF,Ingolstadt 04,20-364,2002,4,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,59a48c59
77,Kevin Conrad,de GER,DF,Elversberg,32-146,1990,11,11,988,11.0,1,1,1,0,0,3,1,0.09,0.09,0.18,0.09,0.18,Matches,45afa04c
78,Christian Conteh,de GER,MFFW,Dresden,23-129,1999,8,7,491,5.5,1,1,1,0,0,1,0,0.18,0.18,0.37,0.18,0.37,Matches,231b327e
79,Mael Corboz,us USA,MF,Verl,28-119,1994,17,17,1530,17.0,3,0,3,0,0,4,0,0.18,0.00,0.18,0.18,0.18,Matches,c4bb1b9f
80,Marcel Correia,pt POR,DF,Elversberg,33-232,1989,12,12,1024,11.4,2,1,2,0,0,1,0,0.18,0.09,0.26,0.18,0.26,Matches,11644dea
81,Can Coskun,de GER,MFDF,Zwickau,24-283,1998,14,10,707,7.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,37920f05
82,Marcel Costly,de GER,DFMF,Ingolstadt 04,27-044,1995,17,17,1423,15.8,2,2,2,0,0,3,0,0.13,0.13,0.25,0.13,0.25,Matches,999d0ce7
83,Soumaïla Coulibaly,fr FRA,DF,Dortmund II,19-081,2003,7,7,584,6.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9dff291c
84,Marvin Cuni,al ALB,FW,Saarbrücken,21-177,2001,14,9,914,10.2,5,1,5,0,0,2,0,0.49,0.10,0.59,0.49,0.59,Matches,1d45fd81
