,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
453,Sinan Tekerci,tr TUR,MF,Elversberg,29-103,1993,10,0,127,1.4,1,0,1,0,0,0,0,0.71,0.00,0.71,0.71,0.71,Matches,cd91444d
454,Robert Tesche,de GER,MF,Osnabrück,35-221,1987,17,17,1496,16.6,2,2,2,0,0,1,0,0.12,0.12,0.24,0.12,0.24,Matches,037130ca
455,Pascal Testroet,de GER,FW,Ingolstadt 04,32-099,1990,17,16,1219,13.5,4,3,2,2,2,0,0,0.30,0.22,0.52,0.15,0.37,Matches,aff86d07
456,Niclas Thiede,de GER,GK,Verl,23-264,1999,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cac55e10
457,Maxi Thiel,de GER,MFFW,Erzgebirge Aue,29-334,1993,12,9,707,7.9,1,2,1,0,0,5,1,0.13,0.25,0.38,0.13,0.38,Matches,59fddac7
458,Bjarne Thoelke,de GER,DF,Saarbrücken,30-267,1992,13,13,1066,11.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,f4597502
459,Martin Thomann,de GER,MF,SpVgg Bayreuth,28-217,1994,7,4,346,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1ae3a1b5
460,Jonas Thomas Kersken,de GER,GK,Meppen,22-124,2000,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7a45c2be
461,Haktab Traoré,de GER,DF,Osnabrück,24-333,1998,16,16,1269,14.1,1,3,1,0,0,3,0,0.07,0.21,0.28,0.07,0.28,Matches,f44e8a73
462,Maurice Trapp,de GER,DF,Osnabrück,31-003,1991,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b1fdc066
463,Philipp Treu,de GER,DFMF,SC Freiburg II,22-031,2000,15,13,1089,12.1,0,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches,047822ad
464,Boné Uaferro,de GER,DF,Saarbrücken,30-364,1992,13,11,955,10.6,2,0,2,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches,c969a9e5
465,Luca Unbehaun,de GER,GK,Dortmund II,21-310,2001,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,78666ade
466,Benjamin Uphoff,de GER,GK,SC Freiburg II,29-148,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a9a6fc08
467,Jesper Verlaat,nl NED,DF,1860 Munich,26-213,1996,17,17,1515,16.8,3,0,3,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,a27c5ac4
468,Vincent Vermeij,nl NED,FW,SC Freiburg II,28-147,1994,17,16,1432,15.9,8,0,7,1,1,0,0,0.50,0.00,0.50,0.44,0.44,Matches,7e629adc
469,Sascha Voelcke,de GER,DF,Rot-Weiss Essen,20-314,2002,3,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,572f8e05
470,David Vogt,de GER,MF,Meppen,22-030,2000,6,4,344,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,623ac807
471,Yannic Voigt,de GER,MF,Zwickau,20-068,2002,8,1,196,2.2,1,0,1,0,0,1,0,0.46,0.00,0.46,0.46,0.46,Matches,d9860d27
472,Jannes Vollert,de GER,DF,Hallescher,24-347,1998,14,13,1176,13.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,e2a8fc73
473,Albion Vrenezi,xk KVX,MF,1860 Munich,29-091,1993,17,13,1118,12.4,4,3,2,2,2,2,0,0.32,0.24,0.56,0.16,0.40,Matches,27c65858
474,Fridolin Wagner,de GER,MF,SV Waldhof,25-102,1997,13,9,706,7.8,0,3,0,0,0,4,0,0.00,0.38,0.38,0.00,0.38,Matches,cb50e375
475,Noah Wagner,de GER,MF,SC Freiburg II,17-243,2005,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4464847e
476,Robert Wagner,de GER,MF,SC Freiburg II,19-173,2003,12,12,1080,12.0,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches,e3d3fbeb
477,Wladimir Wagner,de GER,FW,Verl,21-154,2001,2,1,86,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,61b476a9
478,Felix Weber,de GER,DF,SpVgg Bayreuth,27-350,1995,16,16,1373,15.3,0,1,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,Matches,1b6f8ad3
479,Tobias Weber,de GER,DFMF,SpVgg Bayreuth,27-193,1995,9,6,600,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,60a1ed54
480,Max Wegner,de GER,FW,VfB Oldenburg,33-285,1989,13,12,1009,11.2,5,2,4,1,1,3,0,0.45,0.18,0.62,0.36,0.54,Matches,d93830d6
481,Patrick Weihrauch,de GER,MFFW,Dresden,28-306,1994,17,6,740,8.2,1,2,1,0,0,1,0,0.12,0.24,0.36,0.12,0.36,Matches,d90486d2
482,Patrick Weimar,de GER,DF,SpVgg Bayreuth,27-038,1995,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a15e8f74
483,Daniel Wein,de GER,MFDF,1860 Munich,28-332,1994,8,3,375,4.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8b4c3d31
484,Andreas Wiegel,de GER,DFMF,Rot-Weiss Essen,31-166,1991,7,7,475,5.3,1,0,1,0,0,2,1,0.19,0.00,0.19,0.19,0.19,Matches,e7fd476f
485,Oscar Wiklöf,fi FIN,MF,SC Freiburg II,19-339,2003,7,2,294,3.3,2,1,2,0,0,1,0,0.61,0.31,0.92,0.61,0.92,Matches,d94782e6
486,Gordon Wild,de GER,FWMF,MSV Duisburg,27-079,1995,5,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ca33c53
487,Paul Will,de GER,MFFW,Dresden,23-308,1999,16,14,1287,14.3,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,14af7b90
488,Marius Willsch,de GER,MF,1860 Munich,31-291,1991,5,1,127,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2898ff0
489,Marten Winkler,de GER,MFFW,SV Waldhof,20-064,2002,12,6,502,5.6,2,2,2,0,0,3,0,0.36,0.36,0.72,0.36,0.72,Matches,e0d515ef
490,Maximilian Wolfram,de GER,FW,Verl,25-316,1997,17,13,1103,12.3,2,3,2,0,1,3,0,0.16,0.24,0.41,0.16,0.41,Matches,976f4d6b
491,Luca Wollschläger,de GER,FW,Rot-Weiss Essen,19-329,2003,3,0,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,24b8e7bd
492,Nick Woltemade,de GER,FWMF,Elversberg,20-323,2002,11,5,512,5.7,2,2,2,0,0,1,0,0.35,0.35,0.70,0.35,0.70,Matches,7ca196eb
493,Marius Wörl,de GER,MF,1860 Munich,18-273,2004,6,4,320,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a0801b7
494,Joscha Wosz,de GER,MF,Verl,20-167,2002,7,0,62,0.7,1,0,1,0,0,1,0,1.45,0.00,1.45,1.45,1.45,Matches,80c9e555
495,Jannes Wulff,de GER,MFFW,Osnabrück,23-111,1999,12,3,387,4.3,2,0,2,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches,a83c0d16
496,Johannes Wurtz,de GER,FWMF,Wehen,30-198,1992,15,15,1065,11.8,2,3,2,0,0,3,0,0.17,0.25,0.42,0.17,0.42,Matches,c756d718
497,Isaiah Young,us USA,MFFW,Rot-Weiss Essen,24-279,1998,17,14,1247,13.9,2,2,2,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches,4beb59a6
498,Jannik Zahmel,de GER,FW,Osnabrück,19-264,2003,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,26b13850
499,Manuel Zeitz,de GER,MF,Saarbrücken,32-155,1990,11,5,421,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f87e460
500,Eroll Zejnullahu,xk KVX,MFFW,SpVgg Bayreuth,28-076,1994,13,8,702,7.8,0,3,0,0,0,1,1,0.00,0.38,0.38,0.00,0.38,Matches,28dbcf6f
501,Steven Zellner,de GER,DF,Saarbrücken,31-295,1991,15,9,962,10.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,03ac019e
502,Robin Ziegele,de GER,DF,Zwickau,25-296,1997,14,14,1214,13.5,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,d7091413
503,Markus Ziereis,de GER,FW,SpVgg Bayreuth,30-130,1992,16,5,595,6.6,3,0,3,0,0,1,0,0.45,0.00,0.45,0.45,0.45,Matches,11f6148e
504,Robert Ziętarski,pl POL,MF,VfB Oldenburg,29-197,1993,15,13,1124,12.5,2,2,2,0,0,6,0,0.16,0.16,0.32,0.16,0.32,Matches,e80d20c3
505,Tom Zimmerschied,de GER,MFFW,Hallescher,24-103,1998,17,16,1341,14.9,6,1,6,0,0,4,0,0.40,0.07,0.47,0.40,0.47,Matches,34407a13
506,Nikos Zografakis,gr GRE,FW,Verl,23-180,1999,6,1,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,96081b1a
